BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,
dominance_despotism_energy.nlogo,,,,,,,,,,,,
initiator-experiment,,,,,,,,,,,,
12/12/2022 11:22:36:990 -0500,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-10,10,-10,10,,,,,,,,,
[run number],winning,resource-dist,assessment-info,assessment-who,[step],ticks,sum [victory-counter] of victories,sum [avoid-counter] of fightsavoided,foraging-efficiency-time,,,
110,initiator,clumped,knowledge,opponent,5972,5972,450,606,0.533037508,,,0.426136364
109,initiator,clumped,knowledge,opponent,6195,6195,450,897,0.51551251,,,0.334075724
112,initiator,clumped,knowledge,self,5837,5837,470,451,0.518160014,,,0.510314875
114,initiator,clumped,knowledge,self,5971,5971,450,663,0.51550829,,,0.404312668
113,initiator,clumped,knowledge,self,6042,6042,450,748,0.515028136,,,0.375626043
116,initiator,clumped,knowledge,self,5907,5907,450,535,0.53467073,,,0.456852792
115,initiator,clumped,knowledge,self,5853,5853,510,450,0.521407825,,,0.53125
117,initiator,clumped,knowledge,self,5914,5914,452,603,0.508927968,,,0.428436019
118,initiator,clumped,knowledge,self,6244,6244,451,924,0.512363869,,,0.328
119,initiator,clumped,knowledge,self,5973,5973,530,450,0.550493889,,,0.540816327
120,initiator,clumped,knowledge,self,5870,5870,450,583,0.510647359,,,0.435624395
56,initiator,uniform,knowledge,self,41074,41074,450,1335,0.72017578,,,0.25210084
