"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"new results dec 22"
"12/23/2022 11:31:44:792 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"193","probabilistic","clumped","history","self","16017","16017","450","552","0.5189548604607604"
"194","probabilistic","clumped","history","self","16227","16227","450","746","0.512448388488322"
"195","probabilistic","clumped","history","self","16160","16160","452","661","0.5290284653465347"
"197","probabilistic","clumped","history","self","16158","16158","450","650","0.5225461071914841"
"196","probabilistic","clumped","history","self","16092","16092","450","594","0.5455132985334328"
"198","probabilistic","clumped","history","self","16147","16147","450","699","0.5233603765405339"
"199","probabilistic","clumped","history","self","16140","16140","451","621","0.539820322180917"
"201","probabilistic","clumped","history","opponent","16235","16235","450","722","0.5451678472436094"
"200","probabilistic","clumped","history","self","16102","16102","450","679","0.4971432120233512"
"179","probabilistic","uniform","knowledge","opponent","62092","62092","450","1650","0.720447078528635"
"202","probabilistic","clumped","history","opponent","16078","16078","450","564","0.5392897126508271"
"203","probabilistic","clumped","history","opponent","16117","16117","452","670","0.5195011478563007"
"204","probabilistic","clumped","history","opponent","16070","16070","450","620","0.5109023024268824"
"205","probabilistic","clumped","history","opponent","16112","16112","450","618","0.5380585898709038"
"206","probabilistic","clumped","history","opponent","16119","16119","450","635","0.5175941435572926"
"207","probabilistic","clumped","history","opponent","16086","16086","450","612","0.5060487380330722"
"208","probabilistic","clumped","history","opponent","16110","16110","450","618","0.5449224084419615"
"210","probabilistic","clumped","history","opponent","16186","16186","450","646","0.5122575064870876"
"209","probabilistic","clumped","history","opponent","16119","16119","450","650","0.5208449655685836"
"211","probabilistic","clumped","knowledge","mutual","16252","16252","450","748","0.5220219049963082"
"214","probabilistic","clumped","knowledge","mutual","16171","16171","450","708","0.5103518644487044"
"213","probabilistic","clumped","knowledge","mutual","16177","16177","452","669","0.5302219200098905"
"212","probabilistic","clumped","knowledge","mutual","16240","16240","450","756","0.5226847290640395"
"215","probabilistic","clumped","knowledge","mutual","16255","16255","450","732","0.5517502306982467"
"216","probabilistic","clumped","knowledge","mutual","16164","16164","450","725","0.5100037119524871"
"218","probabilistic","clumped","knowledge","mutual","16107","16107","450","605","0.5155894952505122"
"217","probabilistic","clumped","knowledge","mutual","16198","16198","450","678","0.5303000370416101"
"219","probabilistic","clumped","knowledge","mutual","16180","16180","450","692","0.5330964153275649"
"220","probabilistic","clumped","knowledge","mutual","16143","16143","450","732","0.5094715975964815"
"223","probabilistic","clumped","knowledge","self","16112","16112","573","450","0.5248200099304865"
"222","probabilistic","clumped","knowledge","self","16277","16277","450","831","0.526829268292683"
"221","probabilistic","clumped","knowledge","self","16416","16416","450","952","0.5227826510721247"
"224","probabilistic","clumped","knowledge","self","16067","16067","450","590","0.4945789506441776"
"225","probabilistic","clumped","knowledge","self","16011","16011","450","483","0.5313222159765161"
"226","probabilistic","clumped","knowledge","self","15979","15979","450","498","0.518092496401527"
"227","probabilistic","clumped","knowledge","self","16096","16096","495","450","0.5504473161033797"
"228","probabilistic","clumped","knowledge","self","16072","16072","451","575","0.5144412643106022"
"230","probabilistic","clumped","knowledge","self","16067","16067","450","560","0.5398705421049355"
"229","probabilistic","clumped","knowledge","self","16116","16116","450","643","0.5204206999255399"
"232","probabilistic","clumped","knowledge","opponent","16281","16281","450","817","0.5259812050856827"
"231","probabilistic","clumped","knowledge","opponent","16117","16117","450","618","0.5362660544766396"
"233","probabilistic","clumped","knowledge","opponent","16265","16265","451","769","0.5123209345219798"
"234","probabilistic","clumped","knowledge","opponent","16230","16230","450","716","0.5268145409735059"
"235","probabilistic","clumped","knowledge","opponent","16194","16194","450","656","0.5255403235766334"
"237","probabilistic","clumped","knowledge","opponent","16153","16153","451","617","0.539825419426732"
"236","probabilistic","clumped","knowledge","opponent","16231","16231","451","778","0.5215883186494978"
"239","probabilistic","clumped","knowledge","opponent","16298","16298","450","802","0.5133145171186648"
"238","probabilistic","clumped","knowledge","opponent","16203","16203","450","745","0.5350367215947663"
"240","probabilistic","clumped","knowledge","opponent","16190","16190","450","699","0.5364360716491661"
"242","initiator","uniform","history","mutual","55374","55374","450","1533","0.7198847834723876"
"243","initiator","uniform","history","mutual","52994","52994","450","1448","0.7198796090123412"
"248","initiator","uniform","history","mutual","51373","51373","450","1351","0.7198139100305607"
"244","initiator","uniform","history","mutual","53220","53220","450","1284","0.7207083803081549"
"241","initiator","uniform","history","mutual","57894","57894","450","1466","0.720425259957854"
"245","initiator","uniform","history","mutual","53825","53825","450","1233","0.7211165815141664"
"247","initiator","uniform","history","mutual","53438","53438","450","1381","0.7198529136569483"
"250","initiator","uniform","history","mutual","53013","53013","450","1317","0.7202723860185237"
"246","initiator","uniform","history","mutual","57485","57485","450","1629","0.7203305210054798"
"251","initiator","uniform","history","self","51337","51337","450","1267","0.7206069696320394"
"252","initiator","uniform","history","self","51542","51542","450","1239","0.7201136936867021"
"253","initiator","uniform","history","self","54650","54650","450","1313","0.7202397072278133"
"254","initiator","uniform","history","self","50841","50841","450","1186","0.7204500304872051"
"249","initiator","uniform","history","mutual","57555","57555","450","1524","0.7201511597602293"
"255","initiator","uniform","history","self","54822","54822","450","1291","0.720393272773704"
"32","deterministic","uniform","knowledge","mutual","60772","60772","450","1612","0.720540709537287"
"256","initiator","uniform","history","self","51397","51397","450","1163","0.7207930423954705"
"267","initiator","uniform","history","opponent","47376","47376","450","1056","0.7203689631881122"
"257","initiator","uniform","history","self","50734","50734","450","1131","0.7204931604052509"
"264","initiator","uniform","history","opponent","49528","49528","450","1150","0.7205015344855434"
"265","initiator","uniform","history","opponent","51468","51468","450","1221","0.7204049117898499"
"269","initiator","uniform","history","opponent","50730","50730","450","1209","0.7201064458900059"
"259","initiator","uniform","history","self","54205","54205","450","1363","0.7205663684161978"
"262","initiator","uniform","history","opponent","52470","52470","450","1349","0.7201829616923956"
"258","initiator","uniform","history","self","58046","58046","450","1573","0.7205009819798092"
"261","initiator","uniform","history","opponent","54561","54561","450","1411","0.7203698612562086"
"260","initiator","uniform","history","self","54456","54456","450","1450","0.7199610694872924"
"266","initiator","uniform","history","opponent","53923","53923","450","1337","0.7201565194814828"
"268","initiator","uniform","history","opponent","54258","54258","450","1291","0.720496516642707"
"263","initiator","uniform","history","opponent","55742","55742","450","1428","0.7202683793190054"
"270","initiator","uniform","history","opponent","52050","52050","450","1276","0.7204726224783861"
"272","initiator","uniform","knowledge","mutual","50144","50144","450","1173","0.7205567964262923"
"273","initiator","uniform","knowledge","mutual","55259","55259","450","1345","0.720253714327078"
"275","initiator","uniform","knowledge","mutual","50275","50275","450","1266","0.7202963699651914"
"284","initiator","uniform","knowledge","self","41364","41364","450","771","0.7206677303935789"
"277","initiator","uniform","knowledge","mutual","49216","49216","450","1151","0.7206335338101431"
"285","initiator","uniform","knowledge","self","43805","43805","450","888","0.7208355210592398"
"281","initiator","uniform","knowledge","self","48890","48890","450","1115","0.7204152178359584"
"282","initiator","uniform","knowledge","self","48148","48148","450","1051","0.7204494475367617"
"274","initiator","uniform","knowledge","mutual","54006","54006","450","1276","0.7206699255638261"
"276","initiator","uniform","knowledge","mutual","54439","54439","450","1348","0.7201987545693345"
"280","initiator","uniform","knowledge","mutual","54570","54570","450","1366","0.7204892798240791"
