variable,strategy,distribution,triangle.transitivity,escalation,dci,steepness,slope
history,self,uniform,0.024390244,0.5,0.253333333,-0.190310012,-0.000724858
history,self,uniform,0.175257732,0.5,0.297777778,-0.189913843,-0.00016104
history,self,uniform,-0.179487179,0.5,0.253333333,-0.113815074,0.001793403
history,self,uniform,0.287671233,0.5,0.231111111,-0.147229553,-0.000211031
history,self,uniform,-0.060240964,0.5,0.248888889,-0.145879929,4.95E-05
history,opponent,uniform,-0.272727273,0.5,0.24,-0.072747024,0.002537639
history,opponent,uniform,0.342465753,0.5,0.24,-0.203410214,-0.000114866
history,opponent,uniform,0.095238095,0.5,0.235555556,-0.182313129,0.000258635
history,opponent,uniform,-0.1,0.5,0.204444444,-0.130266787,-8.63E-05
history,opponent,uniform,0.128205128,0.5,0.235555556,-0.174499684,-0.000547479
history,opponent,uniform,0.39047619,0.5,0.28,-0.225420758,-6.80E-05
history,opponent,uniform,-0.135135135,0.5,0.266666667,-0.148785765,0.000753569
history,opponent,uniform,0.027027027,0.5,0.24,-0.119031641,-0.000514809
history,opponent,uniform,0.252747253,0.5,0.248888889,-0.155638412,0.000222455
history,opponent,uniform,0.098591549,0.5,0.222222222,-0.140556326,-0.000482672
