"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"sigmoid experiment"
"06/09/2023 13:55:56:660 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","function","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"103","initiator","clumped","history","mutual","sigmoid","15993","15993","450","623","0.5132745576189582"
"101","initiator","clumped","history","mutual","sigmoid","15994","15994","451","625","0.5367575340752782"
"102","initiator","clumped","history","mutual","sigmoid","15959","15959","450","641","0.49958017419637823"
"105","initiator","clumped","history","mutual","sigmoid","15990","15990","450","618","0.5248342714196373"
"92","initiator","uniform","knowledge","mutual","sigmoid","62418","62418","450","1830","0.7202409561344484"
"104","initiator","clumped","history","mutual","sigmoid","15949","15949","451","603","0.524590883440968"
"95","initiator","uniform","knowledge","mutual","sigmoid","55344","55344","450","1345","0.7206960104076322"
"106","initiator","clumped","history","mutual","sigmoid","15989","15989","450","606","0.5036212396022266"
"107","initiator","clumped","history","mutual","sigmoid","16008","16008","450","629","0.5402548725637181"
"108","initiator","clumped","history","mutual","sigmoid","15977","15977","450","641","0.5091819490517618"
"109","initiator","clumped","history","mutual","sigmoid","16073","16073","450","655","0.5334785043240216"
"110","initiator","clumped","history","mutual","sigmoid","16016","16016","451","596","0.5080232267732268"
"111","initiator","clumped","knowledge","mutual","sigmoid","16058","16058","450","639","0.5389338647403163"
"93","initiator","uniform","knowledge","mutual","sigmoid","76316","76316","450","2419","0.7202722889040306"
"112","initiator","clumped","knowledge","mutual","sigmoid","16028","16028","450","593","0.5311579735462939"
"91","initiator","uniform","knowledge","mutual","sigmoid","84781","84781","450","2829","0.7202014602328352"
"114","initiator","clumped","knowledge","mutual","sigmoid","15972","15972","451","575","0.5226834460305534"
"113","initiator","clumped","knowledge","mutual","sigmoid","16029","16029","450","662","0.533308378563853"
"115","initiator","clumped","knowledge","mutual","sigmoid","16110","16110","450","710","0.5174425822470515"
"116","initiator","clumped","knowledge","mutual","sigmoid","16012","16012","450","692","0.5302523107669248"
"97","initiator","uniform","knowledge","mutual","sigmoid","50258","50258","450","1200","0.7204843010068048"
"98","initiator","uniform","knowledge","mutual","sigmoid","51159","51159","450","1207","0.7206161183760434"
"117","initiator","clumped","knowledge","mutual","sigmoid","16049","16049","450","718","0.5156146800423702"
"118","initiator","clumped","knowledge","mutual","sigmoid","15973","15973","450","672","0.5238089275652664"
"119","initiator","clumped","knowledge","mutual","sigmoid","16021","16021","450","661","0.5372573497284814"
"120","initiator","clumped","knowledge","mutual","sigmoid","16016","16016","450","650","0.5277722277722278"
"96","initiator","uniform","knowledge","mutual","sigmoid","74806","74806","450","2195","0.7203419511803866"
"100","initiator","uniform","knowledge","mutual","sigmoid","51307","51307","450","1194","0.7205585982419553"
"99","initiator","uniform","knowledge","mutual","sigmoid","59131","59131","450","1678","0.7198576043023118"
